META
VERSION=1
DICT_NAME=柯林斯词典
DICT_INTRO=柯林斯词典示例文件，共999个单词的分割释义
DICT_LANG=en
DEF_TMPL={{单词}} {{词性}}{{音标}}<br/>{{中文释义}}
FIELDS=单词	音标	词性	扩展	英文释义	中文释义
ENDMETA
24-7		adv		<span class="endef"> If something happens <b>24-7</b>, it happens all the time without ever stopping. <b>24-7</b> means twenty-four hours a day, seven days a week.   </span>	<span class="text_blue">连续发生地;不中断地;无休止地</span>
911		num		<span class="endef"><b>911</b> is the number that you call in the United States in order to contact the emergency services.   </span>	<span class="text_blue">(美国的紧急求助电话号码)</span>
999		num		<span class="endef"><b>999</b> is the number that you call in Britain in order to contact the emergency services.   </span>	<span class="text_blue">(英国的紧急求助电话号码)</span>
A	英[eɪ]美[eɪ]	n-var		<span class="endef"><b>A</b> is the first letter of the English alphabet.   </span>	<span class="text_blue">英语字母表的第1个字母</span>
A	英[eɪ]美[eɪ]	n-var		<span class="endef"> In music, <b>A</b> is the sixth note in the scale of C major.   </span>	<span class="text_blue">C大调音阶中的第六音；A音</span>
A	英[eɪ]美[eɪ]	n-var		<span class="endef"> If you get an <b>A</b> as a mark for a piece of work or in an exam, your work is extremely good.   </span>	<span class="text_blue">（作业、考试等）甲等，优等</span>
A	英[eɪ]美[eɪ]			<span class="endef"><b>A</b> or <b>a</b> is used as an abbreviation for words beginning with a, such as 'acceleration', 'ampère', or 'answer'.   </span>	<span class="text_blue">（用于首字母为 a 的一些单词的缩写，如 acceleration，ampère和answer）</span>
A	英[eɪ]美[eɪ]	phrase		<span class="endef"> People talk about getting <b>from A to B</b> when they are referring generally to journeys they need to make, without saying where the journeys will take them.   </span>	<span class="text_blue">从一处到另一处；从甲地到乙地</span>
A	英[eɪ]美[eɪ]	n-var		<span class="endef"><b>A</b> is the first letter of the English alphabet.   </span>	<span class="text_blue">英语字母表的第1个字母</span>
A	英[eɪ]美[eɪ]	n-var		<span class="endef"> In music, <b>A</b> is the sixth note in the scale of C major.   </span>	<span class="text_blue">C大调音阶中的第六音；A音</span>
A	英[eɪ]美[eɪ]	n-var		<span class="endef"> If you get an <b>A</b> as a mark for a piece of work or in an exam, your work is extremely good.   </span>	<span class="text_blue">（作业、考试等）甲等，优等</span>
A	英[eɪ]美[eɪ]			<span class="endef"><b>A</b> or <b>a</b> is used as an abbreviation for words beginning with a, such as 'acceleration', 'ampère', or 'answer'.   </span>	<span class="text_blue">（用于首字母为 a 的一些单词的缩写，如 acceleration，ampère和answer）</span>
A	英[eɪ]美[eɪ]	phrase		<span class="endef"> People talk about getting <b>from A to B</b> when they are referring generally to journeys they need to make, without saying where the journeys will take them.   </span>	<span class="text_blue">从一处到另一处；从甲地到乙地</span>
a-	英[eɪ]美[eɪ‑]	prefix		<span class="endef"><b>A-</b> is added to the beginning of some adjectives in order to form adjectives that describe someone or something that does not have the feature or quality indicated by the original word.   </span>	<span class="text_blue">(用在形容词前构成反义形容词）表示“非”，“无”</span>
A	英[eɪ]美[eɪ]	n-var		<span class="endef"><b>A</b> is the first letter of the English alphabet.   </span>	<span class="text_blue">英语字母表的第1个字母</span>
A	英[eɪ]美[eɪ]	n-var		<span class="endef"> In music, <b>A</b> is the sixth note in the scale of C major.   </span>	<span class="text_blue">C大调音阶中的第六音；A音</span>
A	英[eɪ]美[eɪ]	n-var		<span class="endef"> If you get an <b>A</b> as a mark for a piece of work or in an exam, your work is extremely good.   </span>	<span class="text_blue">（作业、考试等）甲等，优等</span>
